timestamp,elapsed_sec,total_flows,device_id,device_flow_count
2026-04-24T23:49:39,0.0,64,of:000000000000000c,4
2026-04-24T23:49:39,0.0,64,of:000000000000000d,7
2026-04-24T23:49:39,0.0,64,of:000000000000000a,4
2026-04-24T23:49:39,0.0,64,of:000000000000000b,7
2026-04-24T23:49:39,0.0,64,of:0000000000000003,6
2026-04-24T23:49:39,0.0,64,of:0000000000000004,4
2026-04-24T23:49:39,0.0,64,of:0000000000000001,4
2026-04-24T23:49:39,0.0,64,of:0000000000000002,5
2026-04-24T23:49:39,0.0,64,of:0000000000000007,5
2026-04-24T23:49:39,0.0,64,of:0000000000000008,4
2026-04-24T23:49:39,0.0,64,of:0000000000000005,4
2026-04-24T23:49:39,0.0,64,of:0000000000000006,6
2026-04-24T23:49:39,0.0,64,of:0000000000000009,4
2026-04-24T23:49:40,1.02,64,of:000000000000000c,4
2026-04-24T23:49:40,1.02,64,of:000000000000000d,7
2026-04-24T23:49:40,1.02,64,of:000000000000000a,4
2026-04-24T23:49:40,1.02,64,of:000000000000000b,7
2026-04-24T23:49:40,1.02,64,of:0000000000000003,6
2026-04-24T23:49:40,1.02,64,of:0000000000000004,4
2026-04-24T23:49:40,1.02,64,of:0000000000000001,4
2026-04-24T23:49:40,1.02,64,of:0000000000000002,5
2026-04-24T23:49:40,1.02,64,of:0000000000000007,5
2026-04-24T23:49:40,1.02,64,of:0000000000000008,4
2026-04-24T23:49:40,1.02,64,of:0000000000000005,4
2026-04-24T23:49:40,1.02,64,of:0000000000000006,6
2026-04-24T23:49:40,1.02,64,of:0000000000000009,4
2026-04-24T23:49:41,2.03,64,of:000000000000000c,4
2026-04-24T23:49:41,2.03,64,of:000000000000000d,7
2026-04-24T23:49:41,2.03,64,of:000000000000000a,4
2026-04-24T23:49:41,2.03,64,of:000000000000000b,7
2026-04-24T23:49:41,2.03,64,of:0000000000000003,6
2026-04-24T23:49:41,2.03,64,of:0000000000000004,4
2026-04-24T23:49:41,2.03,64,of:0000000000000001,4
2026-04-24T23:49:41,2.03,64,of:0000000000000002,5
2026-04-24T23:49:41,2.03,64,of:0000000000000007,5
2026-04-24T23:49:41,2.03,64,of:0000000000000008,4
2026-04-24T23:49:41,2.03,64,of:0000000000000005,4
2026-04-24T23:49:41,2.03,64,of:0000000000000006,6
2026-04-24T23:49:41,2.03,64,of:0000000000000009,4
2026-04-24T23:49:42,3.05,64,of:000000000000000c,4
2026-04-24T23:49:42,3.05,64,of:000000000000000d,7
2026-04-24T23:49:42,3.05,64,of:000000000000000a,4
2026-04-24T23:49:42,3.05,64,of:000000000000000b,7
2026-04-24T23:49:42,3.05,64,of:0000000000000003,6
2026-04-24T23:49:42,3.05,64,of:0000000000000004,4
