timestamp,elapsed_sec,total_flows,device_id,device_flow_count
2026-04-24T23:56:42,0.0,52,of:0000000000000001,4
2026-04-24T23:56:42,0.0,52,of:0000000000000002,4
2026-04-24T23:56:42,0.0,52,of:0000000000000003,4
2026-04-24T23:56:42,0.0,52,of:0000000000000004,4
2026-04-24T23:56:42,0.0,52,of:0000000000000005,4
2026-04-24T23:56:42,0.0,52,of:0000000000000006,4
2026-04-24T23:56:42,0.0,52,of:0000000000000007,4
2026-04-24T23:56:42,0.0,52,of:0000000000000008,4
2026-04-24T23:56:42,0.0,52,of:0000000000000009,4
2026-04-24T23:56:42,0.0,52,of:000000000000000a,4
2026-04-24T23:56:42,0.0,52,of:000000000000000b,4
2026-04-24T23:56:42,0.0,52,of:000000000000000c,4
2026-04-24T23:56:42,0.0,52,of:000000000000000d,4
2026-04-24T23:56:43,1.03,52,of:0000000000000001,4
2026-04-24T23:56:43,1.03,52,of:0000000000000002,4
2026-04-24T23:56:43,1.03,52,of:0000000000000003,4
2026-04-24T23:56:43,1.03,52,of:0000000000000004,4
2026-04-24T23:56:43,1.03,52,of:0000000000000005,4
2026-04-24T23:56:43,1.03,52,of:0000000000000006,4
2026-04-24T23:56:43,1.03,52,of:0000000000000007,4
2026-04-24T23:56:43,1.03,52,of:0000000000000008,4
2026-04-24T23:56:43,1.03,52,of:0000000000000009,4
2026-04-24T23:56:43,1.03,52,of:000000000000000a,4
2026-04-24T23:56:43,1.03,52,of:000000000000000b,4
2026-04-24T23:56:43,1.03,52,of:000000000000000c,4
2026-04-24T23:56:43,1.03,52,of:000000000000000d,4
2026-04-24T23:56:44,2.04,52,of:0000000000000001,4
2026-04-24T23:56:44,2.04,52,of:0000000000000002,4
2026-04-24T23:56:44,2.04,52,of:0000000000000003,4
2026-04-24T23:56:44,2.04,52,of:0000000000000004,4
2026-04-24T23:56:44,2.04,52,of:0000000000000005,4
2026-04-24T23:56:44,2.04,52,of:0000000000000006,4
