timestamp,seen_epoch,deviceId,flowId,state,appId,priority,eth_src,eth_dst,ipv4_src,ipv4_dst,ip_proto,tcp_src,tcp_dst,udp_src,udp_dst,dst_port,in_port,out_port,packets,bytes,flow_lifetime_sec
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902899625869953,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:16,,,,,,,,,2,5,0,0,3.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902901123758347,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:15,,,,,,,,,2,4,0,0,4.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902900340676111,ADDED,org.onosproject.fwd,10,00:00:00:00:00:16,00:00:00:00:00:0E,,,,,,,,,5,2,0,0,3.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902899179569168,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:17,,,,,,,,,2,5,0,0,3.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902900667495584,ADDED,org.onosproject.fwd,10,00:00:00:00:00:11,00:00:00:00:00:0E,,,,,,,,,4,2,0,0,4.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902901012183968,ADDED,org.onosproject.fwd,10,00:00:00:00:00:12,00:00:00:00:00:0E,,,,,,,,,4,2,0,0,4.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902898337509029,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:13,,,,,,,,,2,4,0,0,4.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902899850791846,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:11,,,,,,,,,2,4,0,0,4.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902900539006505,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:19,,,,,,,,,2,5,0,0,3.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902897491692460,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:18,,,,,,,,,2,5,0,0,3.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902898608332591,ADDED,org.onosproject.fwd,10,00:00:00:00:00:17,00:00:00:00:00:0E,,,,,,,,,5,2,0,0,3.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902897589266616,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:12,,,,,,,,,2,4,0,0,4.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902900408832968,ADDED,org.onosproject.fwd,10,00:00:00:00:00:15,00:00:00:00:00:0E,,,,,,,,,4,2,0,0,3.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902898307847242,ADDED,org.onosproject.fwd,10,00:00:00:00:00:10,00:00:00:00:00:0E,,,,,,,,,4,2,0,0,4.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902898209765708,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:1B,,,,,,,,,2,5,0,0,3.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902897214140365,ADDED,org.onosproject.fwd,10,00:00:00:00:00:14,00:00:00:00:00:0E,,,,,,,,,4,2,0,0,4.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902897671854032,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:10,,,,,,,,,2,4,0,0,4.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902899431568977,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:14,,,,,,,,,2,4,0,0,4.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902901297584213,ADDED,org.onosproject.fwd,10,00:00:00:00:00:13,00:00:00:00:00:0E,,,,,,,,,4,2,0,0,4.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902897601488996,ADDED,org.onosproject.fwd,10,00:00:00:00:00:1B,00:00:00:00:00:0E,,,,,,,,,5,2,0,0,3.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902898610902887,ADDED,org.onosproject.fwd,10,00:00:00:00:00:19,00:00:00:00:00:0E,,,,,,,,,5,2,0,0,3.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902900119587689,ADDED,org.onosproject.fwd,10,00:00:00:00:00:1A,00:00:00:00:00:0E,,,,,,,,,5,2,0,0,3.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902897629022059,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:1A,,,,,,,,,2,5,0,0,3.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902900377487480,ADDED,org.onosproject.fwd,10,00:00:00:00:00:18,00:00:00:00:00:0E,,,,,,,,,5,2,0,0,3.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000c,34902899466276988,ADDED,org.onosproject.fwd,10,00:00:00:00:00:21,00:00:00:00:00:0F,,,,,,,,,3,2,6921,10312290,75.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902897236519045,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0D,00:00:00:00:00:23,,,,,,,,,2,5,0,0,6.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902901329901837,ADDED,org.onosproject.fwd,10,00:00:00:00:00:1D,00:00:00:00:00:0E,,,,,,,,,4,2,0,0,1.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902897742178702,ADDED,org.onosproject.fwd,10,00:00:00:00:00:20,00:00:00:00:00:0D,,,,,,,,,4,2,0,0,6.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902897976570643,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:1C,,,,,,,,,2,4,0,0,2.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902898502536469,ADDED,org.onosproject.fwd,10,00:00:00:00:00:1E,00:00:00:00:00:0D,,,,,,,,,4,2,0,0,9.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902900888978197,ADDED,org.onosproject.fwd,10,00:00:00:00:00:28,00:00:00:00:00:0D,,,,,,,,,5,2,0,0,5.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902900009707927,ADDED,org.onosproject.fwd,10,00:00:00:00:00:22,00:00:00:00:00:0D,,,,,,,,,5,2,0,0,6.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902900886212638,ADDED,org.onosproject.fwd,10,00:00:00:00:00:1E,00:00:00:00:00:0E,,,,,,,,,4,2,0,0,1.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902898729406751,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0D,00:00:00:00:00:1E,,,,,,,,,2,4,0,0,9.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902899289939743,ADDED,org.onosproject.fwd,10,00:00:00:00:00:21,00:00:00:00:00:0F,,,,,,,,,4,3,6955,10362950,95.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902897784846624,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0D,00:00:00:00:00:24,,,,,,,,,2,5,0,0,6.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902899203837986,ADDED,org.onosproject.fwd,10,00:00:00:00:00:23,00:00:00:00:00:0D,,,,,,,,,5,2,0,0,6.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902901184366770,ADDED,org.onosproject.fwd,10,00:00:00:00:00:1C,00:00:00:00:00:0E,,,,,,,,,4,2,0,0,2.0
2026-06-17 22:25:08,1781735108.1459634,of:000000000000000d,34902899138617144,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0E,00:00:00:00:00:1D,,,,,,,,,2,4,0,0,2.0
