src_host,dst_host,avg_rtt_ms,packet_loss_pct
h1,h38,103.493,0
h1,h39,103.834,0
h1,h2,102.702,0
h1,h3,114.355,0
h1,h4,116.456,0
h1,h5,111.028,0
h1,h6,105.918,0
h1,h7,94.652,0
h1,h8,109.112,0
h1,h9,98.739,0
h1,h10,102.071,0
h1,h11,91.782,0
h1,h12,107.987,0
h1,h13,94.694,0
h1,h14,109.204,0
h1,h15,96.543,0
h1,h16,107.170,0
h1,h17,104.179,0
h1,h18,105.001,0
h1,h19,97.469,0
h1,h20,103.820,0
h1,h21,99.905,0
h1,h22,97.024,0
h1,h23,100.904,0
h1,h24,109.126,0
h1,h25,99.641,0
h1,h26,91.286,0
h1,h27,100.346,0
h1,h28,91.322,0
h1,h29,93.505,0
h1,h30,92.887,0
h1,h31,105.300,0
h1,h32,93.248,0
h1,h33,110.050,0
h1,h34,95.934,0
h1,h35,101.111,0
h1,h36,102.938,0
h1,h37,107.590,0
h1,h38,100.367,0
h1,h39,101.510,0
h1,h2,96.044,0
h1,h3,101.428,0
h1,h4,97.254,0
h1,h5,104.101,0
h1,h6,99.693,0
h1,h7,98.666,0
h1,h8,121.520,0
h1,h9,95.779,0
h1,h10,98.260,0
h1,h11,101.878,0
h1,h12,103.834,0
h1,h13,104.483,0
h1,h14,103.940,0
h1,h15,105.585,0
h1,h16,94.430,0
h1,h17,101.873,0
h1,h18,100.163,0
h1,h19,103.779,0
h1,h20,103.497,0
h1,h21,95.870,0
h1,h22,102.142,0
h1,h23,95.670,0
h1,h24,109.576,0
h1,h25,93.588,0
h1,h26,106.706,0
h1,h27,97.623,0
h1,h28,98.025,0
h1,h29,108.403,0
h1,h30,93.144,0
h1,h31,98.603,0
h1,h32,91.645,0
h1,h33,102.898,0
h1,h34,91.933,0
h1,h35,100.415,0
h1,h36,94.437,0
h1,h37,101.008,0
h1,h38,94.593,0
h1,h39,101.717,0
h1,h2,101.901,0
h1,h3,102.129,0
h1,h4,93.936,0
h1,h5,104.350,0
h1,h6,94.221,0
h1,h7,101.137,0
h1,h8,94.301,0
h1,h9,99.654,0
h1,h10,95.905,0
h1,h11,94.776,0
h1,h12,95.919,0
h1,h13,97.859,0
h1,h14,98.905,0
h1,h15,97.022,0
h1,h16,94.048,0
h1,h17,96.226,0
h1,h18,99.305,0
h1,h19,92.430,0
h1,h20,97.232,0
h1,h21,93.330,0
h1,h22,93.089,0
h1,h23,91.718,0
h1,h24,94.217,0
h1,h25,95.917,0
h1,h26,99.825,0
h1,h27,92.996,0
h1,h28,96.763,0
h1,h29,95.937,0
h1,h30,93.206,0
h1,h31,95.385,0
h1,h32,95.870,0
h1,h33,93.764,0
h1,h34,97.541,0
h1,h35,92.937,0
h1,h36,96.017,0
h1,h37,95.722,0
h1,h38,92.581,0
h1,h39,92.220,0
h1,h2,99.033,0
h1,h3,94.822,0
h1,h4,90.834,0
h1,h5,94.907,0
h1,h6,93.605,0
h1,h7,96.294,0
h1,h8,98.154,0
h1,h9,101.486,0
h1,h10,102.921,0
h1,h11,110.556,0
h1,h12,94.498,0
h1,h13,95.233,0
h1,h14,96.603,0
h1,h15,94.793,0
h1,h16,95.532,0
h1,h17,93.204,0
h1,h18,101.262,0
h1,h19,99.818,0
h1,h20,92.582,0
h1,h21,97.238,0
h1,h22,91.441,0
h1,h23,95.819,0
h1,h24,93.566,0
h1,h25,93.502,0
h1,h26,93.810,0
h1,h27,95.599,0
h1,h28,90.413,0
h1,h29,97.096,0
h1,h30,124.792,0
h1,h31,122.196,0
h1,h32,95.603,0
h1,h33,129.271,0
