timestamp,flow,src_mac,dst_mac,mac_pair,directed_mac_pair,active_route_link_count,active_route_links,active_route_link_ids,overlapped_link_count,overlapping_links,overlapping_link_ids,overlapped_route_count,overlapping_routes,overlapping_mac_pairs,overlap_with_flows,per_link_overlap_counts,max_overlap_on_any_link,max_total_flows_on_any_link,most_overlapped_links,example_flow_ids,packets,bytes
2026-09-02 18:35:28,h11->h17,00:00:00:00:00:0b,00:00:00:00:00:11,00:00:00:00:00:0b <-> 00:00:00:00:00:11,00:00:00:00:00:0b->00:00:00:00:00:11,5,of:0000000000000003:2 -> of:0000000000000008:3; of:0000000000000004:1 -> of:000000000000000c:4; of:0000000000000008:1 -> of:000000000000000b:6; of:000000000000000b:3 -> of:000000000000000d:2; of:000000000000000c:3 -> of:000000000000000d:3,of:0000000000000003:2 -> of:0000000000000008:3; of:0000000000000004:1 -> of:000000000000000c:4; of:0000000000000008:1 -> of:000000000000000b:6; of:000000000000000b:3 -> of:000000000000000d:2; of:000000000000000c:3 -> of:000000000000000d:3,5,of:0000000000000003:2 -> of:0000000000000008:3; of:0000000000000004:1 -> of:000000000000000c:4; of:0000000000000008:1 -> of:000000000000000b:6; of:000000000000000b:3 -> of:000000000000000d:2; of:000000000000000c:3 -> of:000000000000000d:3,of:0000000000000003:2 -> of:0000000000000008:3; of:0000000000000004:1 -> of:000000000000000c:4; of:0000000000000008:1 -> of:000000000000000b:6; of:000000000000000b:3 -> of:000000000000000d:2; of:000000000000000c:3 -> of:000000000000000d:3,1,h17->h11,00:00:00:00:00:0b <-> 00:00:00:00:00:11,h17->h11(5 shared link),"of:0000000000000003:2 -> of:0000000000000008:3: total=2, others=1; of:0000000000000004:1 -> of:000000000000000c:4: total=2, others=1; of:0000000000000008:1 -> of:000000000000000b:6: total=2, others=1; of:000000000000000b:3 -> of:000000000000000d:2: total=2, others=1; of:000000000000000c:3 -> of:000000000000000d:3: total=2, others=1",1,2,of:0000000000000003:2 -> of:0000000000000008:3; of:0000000000000004:1 -> of:000000000000000c:4; of:0000000000000008:1 -> of:000000000000000b:6; of:000000000000000b:3 -> of:000000000000000d:2; of:000000000000000c:3 -> of:000000000000000d:3,34902897215764172; 34902898660181380; 34902898695048888; 34902899122882902; 34902901063220459,3450,5068763
2026-09-02 18:35:28,h17->h11,00:00:00:00:00:11,00:00:00:00:00:0b,00:00:00:00:00:0b <-> 00:00:00:00:00:11,00:00:00:00:00:11->00:00:00:00:00:0b,5,of:0000000000000003:2 -> of:0000000000000008:3; of:0000000000000004:1 -> of:000000000000000c:4; of:0000000000000008:1 -> of:000000000000000b:6; of:000000000000000b:3 -> of:000000000000000d:2; of:000000000000000c:3 -> of:000000000000000d:3,of:0000000000000003:2 -> of:0000000000000008:3; of:0000000000000004:1 -> of:000000000000000c:4; of:0000000000000008:1 -> of:000000000000000b:6; of:000000000000000b:3 -> of:000000000000000d:2; of:000000000000000c:3 -> of:000000000000000d:3,5,of:0000000000000003:2 -> of:0000000000000008:3; of:0000000000000004:1 -> of:000000000000000c:4; of:0000000000000008:1 -> of:000000000000000b:6; of:000000000000000b:3 -> of:000000000000000d:2; of:000000000000000c:3 -> of:000000000000000d:3,of:0000000000000003:2 -> of:0000000000000008:3; of:0000000000000004:1 -> of:000000000000000c:4; of:0000000000000008:1 -> of:000000000000000b:6; of:000000000000000b:3 -> of:000000000000000d:2; of:000000000000000c:3 -> of:000000000000000d:3,1,h11->h17,00:00:00:00:00:0b <-> 00:00:00:00:00:11,h11->h17(5 shared link),"of:0000000000000003:2 -> of:0000000000000008:3: total=2, others=1; of:0000000000000004:1 -> of:000000000000000c:4: total=2, others=1; of:0000000000000008:1 -> of:000000000000000b:6: total=2, others=1; of:000000000000000b:3 -> of:000000000000000d:2: total=2, others=1; of:000000000000000c:3 -> of:000000000000000d:3: total=2, others=1",1,2,of:0000000000000003:2 -> of:0000000000000008:3; of:0000000000000004:1 -> of:000000000000000c:4; of:0000000000000008:1 -> of:000000000000000b:6; of:000000000000000b:3 -> of:000000000000000d:2; of:000000000000000c:3 -> of:000000000000000d:3,34902897588267215; 34902897647369583; 34902897875403296; 34902897973732972; 34902898316146690,42,2796
2026-09-02 18:35:28,h6->h22,00:00:00:00:00:06,00:00:00:00:00:16,00:00:00:00:00:06 <-> 00:00:00:00:00:16,00:00:00:00:00:06->00:00:00:00:00:16,3,of:0000000000000002:1 -> of:000000000000000b:4; of:0000000000000005:1 -> of:000000000000000c:5; of:000000000000000b:2 -> of:000000000000000c:2,of:0000000000000002:1 -> of:000000000000000b:4; of:0000000000000005:1 -> of:000000000000000c:5; of:000000000000000b:2 -> of:000000000000000c:2,3,of:0000000000000002:1 -> of:000000000000000b:4; of:0000000000000005:1 -> of:000000000000000c:5; of:000000000000000b:2 -> of:000000000000000c:2,of:0000000000000002:1 -> of:000000000000000b:4; of:0000000000000005:1 -> of:000000000000000c:5; of:000000000000000b:2 -> of:000000000000000c:2,1,h22->h6,00:00:00:00:00:06 <-> 00:00:00:00:00:16,h22->h6(3 shared link),"of:0000000000000002:1 -> of:000000000000000b:4: total=2, others=1; of:0000000000000005:1 -> of:000000000000000c:5: total=2, others=1; of:000000000000000b:2 -> of:000000000000000c:2: total=2, others=1",1,2,of:0000000000000002:1 -> of:000000000000000b:4; of:0000000000000005:1 -> of:000000000000000c:5; of:000000000000000b:2 -> of:000000000000000c:2,34902897540830004; 34902899142808678; 34902899750866408,1574,2298877
2026-09-02 18:35:28,h22->h6,00:00:00:00:00:16,00:00:00:00:00:06,00:00:00:00:00:06 <-> 00:00:00:00:00:16,00:00:00:00:00:16->00:00:00:00:00:06,3,of:0000000000000002:1 -> of:000000000000000b:4; of:0000000000000005:1 -> of:000000000000000c:5; of:000000000000000b:2 -> of:000000000000000c:2,of:0000000000000002:1 -> of:000000000000000b:4; of:0000000000000005:1 -> of:000000000000000c:5; of:000000000000000b:2 -> of:000000000000000c:2,3,of:0000000000000002:1 -> of:000000000000000b:4; of:0000000000000005:1 -> of:000000000000000c:5; of:000000000000000b:2 -> of:000000000000000c:2,of:0000000000000002:1 -> of:000000000000000b:4; of:0000000000000005:1 -> of:000000000000000c:5; of:000000000000000b:2 -> of:000000000000000c:2,1,h6->h22,00:00:00:00:00:06 <-> 00:00:00:00:00:16,h6->h22(3 shared link),"of:0000000000000002:1 -> of:000000000000000b:4: total=2, others=1; of:0000000000000005:1 -> of:000000000000000c:5: total=2, others=1; of:000000000000000b:2 -> of:000000000000000c:2: total=2, others=1",1,2,of:0000000000000002:1 -> of:000000000000000b:4; of:0000000000000005:1 -> of:000000000000000c:5; of:000000000000000b:2 -> of:000000000000000c:2,34902898071242237; 34902898805468317; 34902899687683723,27,1854
