timestep,time_seconds,time_hours,pmu_id,gen_bus,rank,importance_score
13,65,0.018055556,3,33,2,0.286757353
13,65,0.018055556,1,30,3,0.234890542
13,65,0.018055556,4,34,4,0.223901466
13,65,0.018055556,8,38,5,0.202418094
13,65,0.018055556,2,32,6,0.19319209
13,65,0.018055556,7,37,7,0.182213679
13,65,0.018055556,9,39,8,0.002158989
13,65,0.018055556,6,36,9,0.001209183
13,65,0.018055556,10,31,10,0
14,70,0.019444444,5,35,1,0.3
14,70,0.019444444,3,33,2,0.286795928
14,70,0.019444444,1,30,3,0.235160668
14,70,0.019444444,4,34,4,0.223746873
14,70,0.019444444,8,38,5,0.2023042
14,70,0.019444444,2,32,6,0.194501287
14,70,0.019444444,7,37,7,0.182245861
14,70,0.019444444,9,39,8,0.002160546
14,70,0.019444444,6,36,9,0.001209176
14,70,0.019444444,10,31,10,0
15,75,0.020833333,5,35,1,0.3
15,75,0.020833333,3,33,2,0.286760339
15,75,0.020833333,1,30,3,0.234913114
15,75,0.020833333,4,34,4,0.22388791
15,75,0.020833333,8,38,5,0.202407998
15,75,0.020833333,2,32,6,0.193304117
15,75,0.020833333,7,37,7,0.182216239
15,75,0.020833333,9,39,8,0.002159114
15,75,0.020833333,6,36,9,0.001209182
15,75,0.020833333,10,31,10,0
16,80,0.022222222,5,35,1,0.3
16,80,0.022222222,3,33,2,0.286783203
16,80,0.022222222,1,30,3,0.23507444
16,80,0.022222222,4,34,4,0.223795164
16,80,0.022222222,8,38,5,0.202339486
16,80,0.022222222,2,32,6,0.194090953
16,80,0.022222222,7,37,7,0.182236051
16,80,0.022222222,9,39,8,0.002160046
16,80,0.022222222,6,36,9,0.001209178
16,80,0.022222222,10,31,10,0
17,85,0.023611111,5,35,1,0.3
17,85,0.023611111,3,33,2,0.286800367
17,85,0.023611111,1,30,3,0.235192348
17,85,0.023611111,4,34,4,0.223728437
17,85,0.023611111,8,38,5,0.202290772
17,85,0.023611111,2,32,6,0.194650404
17,85,0.023611111,7,37,7,0.182248325
17,85,0.023611111,9,39,8,0.002160716
17,85,0.023611111,6,36,9,0.001209173
17,85,0.023611111,10,31,10,0
18,90,0.025,5,35,1,0.3
18,90,0.025,3,33,2,0.286784108
18,90,0.025,1,30,3,0.235081656
18,90,0.025,4,34,4,0.223790663
18,90,0.025,8,38,5,0.202336172
18,90,0.025,2,32,6,0.194125678
18,90,0.025,7,37,7,0.18223644
18,90,0.025,9,39,8,0.002160082
18,90,0.025,6,36,9,0.001209176
18,90,0.025,10,31,10,0
19,95,0.026388889,5,35,1,0.3
19,95,0.026388889,3,33,2,0.286765944
19,95,0.026388889,1,30,3,0.234955789
19,95,0.026388889,4,34,4,0.223862128
19,95,0.026388889,8,38,5,0.202388838
19,95,0.026388889,2,32,6,0.193514765
19,95,0.026388889,7,37,7,0.18222065
19,95,0.026388889,9,39,8,0.002159346
19,95,0.026388889,6,36,9,0.001209178
19,95,0.026388889,10,31,10,0
20,100,0.027777778,5,35,1,0.3
20,100,0.027777778,3,33,2,0.286788555
20,100,0.027777778,1,30,3,0.23511426
20,100,0.027777778,4,34,4,0.223771361
20,100,0.027777778,8,38,5,0.202322012
20,100,0.027777778,2,32,6,0.194281727
20,100,0.027777778,7,37,7,0.182239167
20,100,0.027777778,9,39,8,0.002160256
20,100,0.027777778,6,36,9,0.001209173
20,100,0.027777778,10,31,10,0
21,105,0.029166667,5,35,1,0.3
21,105,0.029166667,3,33,2,0.286763147
21,105,0.029166667,1,30,3,0.234937493
21,105,0.029166667,4,34,4,0.223872018
21,105,0.029166667,8,38,5,0.202396154
21,105,0.029166667,2,32,6,0.193424866
21,105,0.029166667,7,37,7,0.182217573
21,105,0.029166667,9,39,8,0.00215923
21,105,0.029166667,6,36,9,0.001209177
21,105,0.029166667,10,31,10,0
22,110,0.030555556,5,35,1,0.3
22,110,0.030555556,3,33,2,0.286754205
22,110,0.030555556,1,30,3,0.234874475
22,110,0.030555556,4,34,4,0.223908056
