step,h30_score,h30_kappa,h30_r_i,h30_T_i,h30_age,h30_status,h31_score,h31_kappa,h31_r_i,h31_T_i,h31_age,h31_status,h32_score,h32_kappa,h32_r_i,h32_T_i,h32_age,h32_status,h33_score,h33_kappa,h33_r_i,h33_T_i,h33_age,h33_status,h34_score,h34_kappa,h34_r_i,h34_T_i,h34_age,h34_status,h35_score,h35_kappa,h35_r_i,h35_T_i,h35_age,h35_status,h36_score,h36_kappa,h36_r_i,h36_T_i,h36_age,h36_status,h37_score,h37_kappa,h37_r_i,h37_T_i,h37_age,h37_status,h38_score,h38_kappa,h38_r_i,h38_T_i,h38_age,h38_status,h39_score,h39_kappa,h39_r_i,h39_T_i,h39_age,h39_status
66,4.4573,0.76,1.0,1.0,10,SELECTED,0.3045,0.13,0.5221,1.0,10,BLOCKED,1.4322,0.49,0.5221,1.0,10,BLOCKED,0.1881,0.85,0.095,1.0,2,BLOCKED,-0.0472,0.67,0.0138,1.0,10,below0,0.5213,0.94,0.1261,1.0,4,BLOCKED,0.2191,0.22,0.2438,1.0,10,BLOCKED,1.1502,0.4,0.5221,1.0,10,BLOCKED,1.7141,0.58,0.5221,1.0,10,BLOCKED,0.8683,0.31,0.5221,1.0,10,BLOCKED
72,2.325,0.76,0.5749,1.0,2,BLOCKED,0.5891,0.13,0.887,1.0,10,BLOCKED,2.505,0.49,0.887,1.0,10,SELECTED,0.8347,0.85,0.2009,1.0,4,BLOCKED,-0.0637,0.67,0.0097,1.0,10,below0,0.3355,0.94,0.0851,1.0,6,BLOCKED,0.1072,0.22,0.159,1.0,10,BLOCKED,0.6556,0.4,0.316,1.0,10,BLOCKED,0.9968,0.58,0.316,1.0,10,BLOCKED,0.485,0.31,0.316,1.0,10,BLOCKED
78,0.5346,0.76,0.1589,1.0,4,BLOCKED,-0.0713,0.13,0.0402,1.0,10,below0,2.6433,0.49,1.0,1.0,2,SELECTED,-0.1416,0.85,0.0005,1.0,6,below0,-0.0753,0.67,0.0068,1.0,10,below0,0.9746,0.94,0.1939,1.0,8,BLOCKED,0.77,0.22,0.6612,1.0,10,BLOCKED,1.7378,0.4,0.7669,1.0,10,BLOCKED,2.5661,0.58,0.7669,1.0,10,BLOCKED,1.3237,0.31,0.7669,1.0,10,BLOCKED
84,-0.1147,0.76,0.0065,1.0,6,below0,-0.0805,0.13,0.0285,1.0,10,below0,1.5526,0.49,0.629,1.0,2,SELECTED,-0.117,0.85,0.0004,1.0,8,below0,-0.0835,0.67,0.0048,1.0,10,below0,-0.0826,0.94,0.0036,1.0,10,below0,0.0622,0.22,0.1249,1.0,10,BLOCKED,0.1002,0.4,0.0845,1.0,10,BLOCKED,0.1915,0.58,0.0845,1.0,10,BLOCKED,0.0545,0.31,0.0845,1.0,10,BLOCKED
90,0.422,0.76,0.1186,1.0,8,BLOCKED,-0.087,0.13,0.0201,1.0,10,below0,1.9342,0.49,0.7588,1.0,2,SELECTED,0.5723,0.85,0.1323,1.0,10,BLOCKED,-0.0893,0.67,0.0034,1.0,10,below0,0.6271,0.94,0.1294,1.0,10,BLOCKED,0.0172,0.22,0.0909,1.0,10,BLOCKED,0.043,0.4,0.0607,1.0,10,BLOCKED,0.1086,0.58,0.0607,1.0,10,BLOCKED,0.0102,0.31,0.0607,1.0,10,BLOCKED
96,0.2899,0.76,0.0861,1.0,10,BLOCKED,-0.0917,0.13,0.0142,1.0,10,below0,-0.0983,0.49,0.0675,1.0,2,below0,0.9428,0.85,0.205,1.0,10,BLOCKED,2.0507,0.67,0.5357,1.0,10,SELECTED,0.3891,0.94,0.0872,1.0,10,BLOCKED,-0.0164,0.22,0.0654,1.0,10,below0,0.0012,0.4,0.0433,1.0,10,BLOCKED,0.0479,0.58,0.0433,1.0,10,BLOCKED,-0.0222,0.31,0.0433,1.0,10,below0
102,4.4573,0.76,1.0,1.0,10,BLOCKED,0.5906,0.13,0.8633,0.3333,10,BLOCKED,2.77,0.49,1.0,0.3333,4,BLOCKED,5.0173,0.85,1.0,0.3333,10,SELECTED,2.3603,0.67,0.656,0.3333,2,BLOCKED,0.2992,0.94,0.0677,0.3333,10,BLOCKED,-0.0211,0.22,0.0467,0.3333,10,below0,-0.009,0.4,0.0307,0.3333,10,below0,0.0241,0.58,0.0307,0.3333,10,BLOCKED,-0.0256,0.31,0.0307,0.3333,10,below0
108,4.4673,0.76,1.0,0.6667,10,BLOCKED,0.0306,0.13,0.158,0.6667,10,BLOCKED,2.8057,0.49,1.0,0.6667,6,BLOCKED,4.8033,0.85,1.0,1.0,2,BLOCKED,3.84,0.67,1.0,0.6667,4,BLOCKED,5.5473,0.94,1.0,0.6667,10,SELECTED,1.0104,0.22,0.8357,0.6667,10,BLOCKED,1.9458,0.4,0.8494,0.6667,10,BLOCKED,2.8631,0.58,0.8494,0.6667,10,BLOCKED,1.4871,0.31,0.8494,0.6667,10,BLOCKED
114,3.4183,0.76,0.7689,0.5,10,BLOCKED,0.4274,0.13,0.6605,0.5,10,BLOCKED,2.0247,0.49,0.724,0.5,8,BLOCKED,4.925,0.85,1.0,0.5,4,BLOCKED,3.8907,0.67,1.0,0.5,6,BLOCKED,5.3583,0.94,1.0,0.5,2,SELECTED,1.2173,0.22,1.0,1.0,10,BLOCKED,1.0494,0.4,0.4738,0.5,10,BLOCKED,1.5612,0.58,0.4738,0.5,10,BLOCKED,0.7936,0.31,0.4738,0.5,10,BLOCKED
120,2.7976,0.76,0.6327,0.5,10,BLOCKED,0.2996,0.13,0.4965,0.5,10,BLOCKED,0.9775,0.49,0.3623,0.5,10,BLOCKED,3.4287,0.85,0.6976,0.5,6,BLOCKED,3.9161,0.67,1.0,0.5,8,SELECTED,2.9562,0.94,0.5741,0.5,2,BLOCKED,1.0761,0.22,0.8817,0.5,10,BLOCKED,2.3123,0.4,1.0,0.5,10,BLOCKED,3.3773,0.58,1.0,1.0,10,BLOCKED,0.6939,0.31,0.4202,0.5,10,BLOCKED
