timestamp,host_ip,host_mac,deviceId,port,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_mbps,tx_mbps,rx_pps,tx_pps
2026-07-01T19:29:30.378040,10.0.0.13,00:00:00:00:00:24,of:0000000000000007,5,56766,1164616,729,12397,0.001,0.0,1.03,0.13
2026-07-01T19:29:30.378040,10.0.0.14,00:00:00:00:00:25,of:0000000000000007,6,45930,1153704,581,12241,0.001,0.0,1.07,0.2
2026-07-01T19:29:30.378040,10.0.0.254,00:00:00:00:00:08,of:0000000000000002,9,57870,1167992,705,12462,0.001,0.0,0.97,0.17
2026-07-01T19:30:00.412850,10.0.0.10,00:00:00:00:00:22,of:0000000000000007,3,58544,1169156,730,12438,0.001,0.0,1.2,0.0
2026-07-01T19:30:00.412850,10.0.0.247,00:00:00:00:00:21,of:0000000000000006,8,54622,1162940,685,12338,0.001,0.0,1.2,0.0
2026-07-01T19:30:00.412850,10.0.0.102,00:00:00:00:00:07,of:0000000000000002,8,50310,1171084,603,12541,0.001,0.0,1.23,0.0
2026-07-01T19:30:00.412850,10.0.0.5,00:00:00:00:00:09,of:0000000000000003,3,47846,1163918,589,12405,0.001,0.0,1.16,0.0
2026-07-01T19:30:00.412850,10.0.0.248,00:00:00:00:00:23,of:0000000000000007,4,52118,1168436,647,12464,0.001,0.0,1.2,0.0
2026-07-01T19:30:00.412850,10.0.0.18,00:00:00:00:00:06,of:0000000000000002,7,48490,1164304,591,12412,0.001,0.0,1.33,0.1
2026-07-01T19:30:00.412850,10.0.0.4,00:00:00:00:00:05,of:0000000000000002,6,52270,1165956,643,12426,0.001,0.0,1.23,0.0
2026-07-01T19:30:00.412850,10.0.0.242,00:00:00:00:00:1C,of:0000000000000006,3,47300,1157256,600,12288,0.001,0.0,1.2,0.0
2026-07-01T19:30:00.412850,10.0.0.11,00:00:00:00:00:03,of:0000000000000002,4,49512,1166138,602,12437,0.001,0.0,1.23,0.0
2026-07-01T19:30:00.412850,10.0.0.253,00:00:00:00:00:04,of:0000000000000002,5,46432,1169050,560,12521,0.001,0.0,1.23,0.0
2026-07-01T19:30:00.412850,10.0.0.3,00:00:00:00:00:1D,of:0000000000000006,4,54286,1172654,687,12545,0.001,0.0,1.2,0.0
2026-07-01T19:30:00.412850,10.0.0.6,00:00:00:00:00:18,of:0000000000000005,5,49414,1158720,623,12303,0.001,0.0,1.2,0.23
2026-07-01T19:30:00.412850,10.0.0.1,00:00:00:00:00:01,of:0000000000000001,4,865936,2450588,10662,25412,0.002,0.001,2.46,0.97
2026-07-01T19:30:00.412850,10.0.0.2,00:00:00:00:00:1A,of:0000000000000005,7,45284,1164634,556,12440,0.001,0.0,1.16,0.2
2026-07-01T19:30:00.412850,10.0.0.252,00:00:00:00:00:20,of:0000000000000006,7,50926,1167670,637,12461,0.001,0.0,1.3,0.23
2026-07-01T19:30:00.412850,10.0.0.210,00:00:00:00:00:17,of:0000000000000005,4,49610,1167028,611,12469,0.001,0.0,1.2,0.2
2026-07-01T19:30:00.412850,10.0.0.239,00:00:00:00:00:1B,of:0000000000000005,8,53390,1162632,679,12343,0.001,0.0,1.2,0.1
2026-07-01T19:30:00.412850,10.0.0.236,00:00:00:00:00:16,of:0000000000000005,3,41148,1153904,520,12249,0.001,0.0,1.2,0.23
2026-07-01T19:30:00.412850,10.0.0.225,00:00:00:00:00:02,of:0000000000000002,3,52172,1167958,632,12463,0.001,0.0,1.23,0.0
2026-07-01T19:30:00.412850,10.0.0.250,00:00:00:00:00:15,of:0000000000000004,8,49540,1160180,618,12328,0.001,0.0,1.23,0.13
2026-07-01T19:30:00.412850,10.0.0.169,00:00:00:00:00:0B,of:0000000000000003,5,46838,1164192,573,12412,0.001,0.0,1.16,0.0
2026-07-01T19:30:00.412850,10.0.0.251,00:00:00:00:00:13,of:0000000000000004,6,49050,1159514,609,12330,0.001,0.0,1.23,0.1
2026-07-01T19:30:00.412850,10.0.0.7,00:00:00:00:00:1F,of:0000000000000006,6,53636,1164002,680,12363,0.001,0.0,1.2,0.0
2026-07-01T19:30:00.412850,10.0.0.17,00:00:00:00:00:14,of:0000000000000004,7,55462,1173116,681,12540,0.001,0.0,1.3,0.27
2026-07-01T19:30:00.412850,10.0.0.25,00:00:00:00:00:19,of:0000000000000005,6,46054,1157012,583,12291,0.001,0.0,1.3,0.1
2026-07-01T19:30:00.412850,10.0.0.243,00:00:00:00:00:0A,of:0000000000000003,4,44304,1169224,530,12530,0.001,0.0,1.16,0.0
2026-07-01T19:30:00.412850,10.0.0.19,00:00:00:00:00:1E,of:0000000000000006,5,54328,1164298,682,12369,0.001,0.0,1.26,0.07
2026-07-01T19:30:00.412850,10.0.0.8,00:00:00:00:00:0F,of:0000000000000003,9,51906,1167048,633,12444,0.001,0.0,1.2,0.0
2026-07-01T19:30:00.412850,10.0.0.240,00:00:00:00:00:10,of:0000000000000004,3,46860,1160916,580,12350,0.001,0.0,1.2,0.03
2026-07-01T19:30:00.412850,10.0.0.12,00:00:00:00:00:11,of:0000000000000004,4,49582,1164788,611,12410,0.001,0.0,1.2,0.03
2026-07-01T19:30:00.412850,10.0.0.234,00:00:00:00:00:27,of:0000000000000007,8,55518,1165690,709,12395,0.001,0.0,1.2,0.0
2026-07-01T19:30:00.412850,10.0.0.15,00:00:00:00:00:0E,of:0000000000000003,8,54300,1164721,666,12395,0.001,0.0,1.2,0.0
2026-07-01T19:30:00.412850,10.0.0.21,00:00:00:00:00:26,of:0000000000000007,7,59096,1168406,760,12423,0.001,0.0,1.3,0.13
2026-07-01T19:30:00.412850,10.0.0.246,00:00:00:00:00:12,of:0000000000000004,5,49498,1159670,617,12327,0.001,0.0,1.3,0.17
2026-07-01T19:30:00.412850,10.0.0.9,00:00:00:00:00:0D,of:0000000000000003,7,57058,1177706,693,12620,0.001,0.0,1.16,0.0
2026-07-01T19:30:00.412850,10.0.0.245,00:00:00:00:00:0C,of:0000000000000003,6,50450,1165116,611,12414,0.001,0.0,1.16,0.0
2026-07-01T19:30:00.412850,10.0.0.13,00:00:00:00:00:24,of:0000000000000007,5,56766,1167874,729,12433,0.001,0.0,1.2,0.0
2026-07-01T19:30:00.412850,10.0.0.14,00:00:00:00:00:25,of:0000000000000007,6,45930,1156962,581,12277,0.001,0.0,1.2,0.0
2026-07-01T19:30:00.412850,10.0.0.254,00:00:00:00:00:08,of:0000000000000002,9,57870,1171486,705,12499,0.001,0.0,1.23,0.0
2026-07-01T19:30:30.447020,10.0.0.10,00:00:00:00:00:22,of:0000000000000007,3,58544,1172818,730,12479,0.001,0.0,1.37,0.0
2026-07-01T19:30:30.447020,10.0.0.247,00:00:00:00:00:21,of:0000000000000006,8,55000,1166672,690,12378,0.001,0.0,1.33,0.17
2026-07-01T19:30:30.447020,10.0.0.102,00:00:00:00:00:07,of:0000000000000002,8,50310,1174788,603,12583,0.001,0.0,1.4,0.0
2026-07-01T19:30:30.447020,10.0.0.5,00:00:00:00:00:09,of:0000000000000003,3,47846,1167622,589,12447,0.001,0.0,1.4,0.0
