step,h1-h30_score,h1-h30_kappa_f,h1-h30_r_f,h1-h30_phi_f,h1-h30_age,h1-h30_status,h1-h31_score,h1-h31_kappa_f,h1-h31_r_f,h1-h31_phi_f,h1-h31_age,h1-h31_status,h1-h32_score,h1-h32_kappa_f,h1-h32_r_f,h1-h32_phi_f,h1-h32_age,h1-h32_status,h1-h33_score,h1-h33_kappa_f,h1-h33_r_f,h1-h33_phi_f,h1-h33_age,h1-h33_status,h1-h34_score,h1-h34_kappa_f,h1-h34_r_f,h1-h34_phi_f,h1-h34_age,h1-h34_status,h1-h35_score,h1-h35_kappa_f,h1-h35_r_f,h1-h35_phi_f,h1-h35_age,h1-h35_status,h1-h36_score,h1-h36_kappa_f,h1-h36_r_f,h1-h36_phi_f,h1-h36_age,h1-h36_status,h1-h37_score,h1-h37_kappa_f,h1-h37_r_f,h1-h37_phi_f,h1-h37_age,h1-h37_status,h1-h38_score,h1-h38_kappa_f,h1-h38_r_f,h1-h38_phi_f,h1-h38_age,h1-h38_status,h1-h39_score,h1-h39_kappa_f,h1-h39_r_f,h1-h39_phi_f,h1-h39_age,h1-h39_status
60,1.2796,0.705,0.3733,0.4,2,BLOCKED,0.9543,0.39,0.3199,0.4,2,BLOCKED,1.7093,0.57,0.444,0.6,2,BLOCKED,2.2878,0.75,0.6501,0.6,1,SELECTED,2.0942,0.66,0.5956,0.6,1,SELECTED,2.1301,0.795,0.65,0.4,2,SELECTED,0.7684,0.435,0.2057,0.6,0,BLOCKED,1.0731,0.525,0.2644,0.4,8,BLOCKED,1.8313,0.615,0.4289,0.6,2,BLOCKED,1.5094,0.48,0.3885,0.6,2,BLOCKED
66,1.0327,0.705,0.227,0.4,3,BLOCKED,1.4138,0.39,0.2661,0.6,3,BLOCKED,2.1515,0.57,0.3971,0.8,3,SELECTED,2.1645,0.75,0.5554,0.6,1,SELECTED,1.3645,0.66,0.5048,0.4,1,BLOCKED,2.2395,0.795,0.5554,0.6,1,SELECTED,0.174,0.435,0.1027,0.4,0,BLOCKED,1.4378,0.525,0.2105,0.6,7,BLOCKED,1.2664,0.615,0.3382,0.4,3,BLOCKED,1.9643,0.48,0.3415,0.8,3,BLOCKED
72,0.9919,0.705,0.19,0.4,4,BLOCKED,1.3984,0.39,0.2209,0.6,4,SELECTED,0.8749,0.57,0.2456,0.4,1,BLOCKED,2.0552,0.75,0.4512,0.6,2,SELECTED,1.3062,0.66,0.4122,0.4,2,BLOCKED,1.3976,0.795,0.3952,0.4,1,SELECTED,0.1014,0.435,0.047,0.4,0,BLOCKED,1.3533,0.525,0.1653,0.6,6,BLOCKED,1.2042,0.615,0.2841,0.4,4,BLOCKED,1.3798,0.48,0.229,0.6,4,BLOCKED
78,1.8352,0.705,0.3594,0.6,5,BLOCKED,1.6506,0.39,0.415,0.6,5,BLOCKED,0.9142,0.57,0.1954,0.4,2,BLOCKED,2.0988,0.75,0.5261,0.6,1,SELECTED,2.0542,0.66,0.5261,0.6,3,SELECTED,1.1861,0.795,0.3065,0.4,1,BLOCKED,0.6294,0.435,0.0992,0.6,0,BLOCKED,0.7478,0.525,0.0843,0.4,5,BLOCKED,2.0332,0.615,0.4706,0.6,5,SELECTED,1.4009,0.48,0.2263,0.6,5,BLOCKED
84,1.9491,0.705,0.2417,0.75,6,SELECTED,1.8578,0.39,0.2973,0.75,5,SELECTED,1.2449,0.57,0.2178,0.5,3,BLOCKED,2.0888,0.75,0.4084,0.75,1,SELECTED,1.2262,0.66,0.2733,0.5,1,BLOCKED,1.4619,0.795,0.2733,0.5,2,BLOCKED,0.3367,0.435,0.0511,0.5,0,BLOCKED,0.988,0.525,0.1067,0.5,4,BLOCKED,1.821,0.615,0.3528,0.75,1,BLOCKED,1.6759,0.48,0.1653,0.75,6,BLOCKED
90,1.1341,0.705,0.2124,0.5,1,BLOCKED,0.8452,0.39,0.2138,0.5,1,BLOCKED,1.2756,0.57,0.2138,0.5,4,BLOCKED,1.3261,0.75,0.3249,0.5,1,BLOCKED,1.2334,0.66,0.2138,0.5,2,BLOCKED,1.515,0.795,0.2694,0.5,3,SELECTED,0.3047,0.435,0.0266,0.5,0,BLOCKED,0.9443,0.525,0.1027,0.5,3,BLOCKED,1.7664,0.615,0.2555,0.75,2,SELECTED,1.677,0.48,0.1568,0.75,7,SELECTED
96,1.1029,0.705,0.1385,0.5,2,BLOCKED,0.8943,0.39,0.1489,0.5,2,BLOCKED,1.1897,0.57,0.1489,0.5,5,BLOCKED,1.3051,0.75,0.2601,0.5,2,BLOCKED,1.3747,0.66,0.2536,0.5,3,SELECTED,1.957,0.795,0.2923,0.75,1,SELECTED,0.9004,0.435,0.0425,0.75,0,BLOCKED,0.9445,0.525,0.1425,0.5,2,BLOCKED,1.4533,0.615,0.1536,0.75,1,SELECTED,0.8803,0.48,0.1981,0.5,1,BLOCKED
102,3.1975,0.705,0.5556,1.0,3,SELECTED,1.6769,0.39,0.4369,0.6667,3,BLOCKED,0.8446,0.57,0.1608,0.3333,6,BLOCKED,2.3988,0.75,0.548,0.6667,3,BLOCKED,2.0433,0.66,0.4924,0.6667,1,BLOCKED,3.4675,0.795,0.7222,1.0,1,SELECTED,0.0241,0.435,0.1053,0.3333,0,BLOCKED,2.62,0.525,0.5556,1.0,1,BLOCKED,1.8868,0.615,0.4924,0.6667,1,BLOCKED,2.67,0.48,0.5556,1.0,2,SELECTED
108,2.9566,0.705,0.4239,1.0,4,SELECTED,1.7747,0.39,0.3947,0.7143,4,BLOCKED,1.2959,0.57,0.2889,0.4286,7,BLOCKED,2.3259,0.75,0.4502,0.7143,4,SELECTED,2.0844,0.66,0.3947,0.7143,2,BLOCKED,2.2942,0.795,0.5058,0.7143,1,SELECTED,0.3574,0.435,0.1929,0.4286,0,BLOCKED,0.4095,0.525,0.1929,0.4286,0,BLOCKED,2.0436,0.615,0.4502,0.7143,2,BLOCKED,1.7462,0.48,0.3947,0.7143,1,BLOCKED
114,0.9285,0.705,0.2239,0.4,1,BLOCKED,1.3002,0.39,0.1925,0.6,5,BLOCKED,0.9395,0.57,0.1128,0.4,8,BLOCKED,0.9588,0.75,0.2239,0.4,1,BLOCKED,2.7371,0.66,0.3609,1.0,3,SELECTED,1.4671,0.795,0.4621,0.4,1,BLOCKED,1.746,0.435,0.2498,1.0,0,BLOCKED,1.8135,0.525,0.2498,1.0,0,SELECTED,1.4701,0.615,0.248,0.6,3,BLOCKED,2.4797,0.48,0.3609,1.0,2,SELECTED
120,1.381,0.705,0.27,0.5,2,BLOCKED,1.6887,0.39,0.2144,0.75,6,BLOCKED,1.2567,0.57,0.1589,0.5,9,BLOCKED,1.4175,0.75,0.27,0.5,2,BLOCKED,2.4357,0.66,0.3034,1.0,1,SELECTED,1.7755,0.795,0.4425,0.5,2,BLOCKED,1.5301,0.435,0.0844,1.0,0,BLOCKED,2.0609,0.525,0.2006,1.0,1,SELECTED,1.8998,0.615,0.2736,0.75,4,SELECTED,1.1523,0.48,0.387,0.5,1,BLOCKED
126,1.7477,0.705,0.2326,0.6667,3,BLOCKED,1.5314,0.39,0.2323,0.6667,7,BLOCKED,1.4878,0.57,0.0659,0.6667,10,BLOCKED,1.6541,0.75,0.177,0.6667,3,BLOCKED,1.7483,0.66,0.3434,0.6667,1,BLOCKED,2.098,0.795,0.3908,0.6667,3,SELECTED,0.8785,0.435,0.1726,0.6667,0,BLOCKED,2.1984,0.525,0.2879,1.0,1,SELECTED,2.3709,0.615,0.3392,1.0,1,SELECTED,1.5861,0.48,0.3353,0.6667,2,BLOCKED
132,2.8471,0.705,0.3721,1.0,4,BLOCKED,2.4559,0.39,0.3583,1.0,8,BLOCKED,2.5882,0.57,0.261,1.0,10,BLOCKED,2.8973,0.75,0.3721,1.0,4,SELECTED,2.8895,0.66,0.4694,1.0,2,SELECTED,3.0871,0.795,0.525,1.0,1,SELECTED,1.8049,0.435,0.2949,1.0,0,BLOCKED,2.5042,0.525,0.482,1.0,1,BLOCKED,2.6267,0.615,0.4291,1.0,1,BLOCKED,2.6066,0.48,0.4681,1.0,3,BLOCKED
