step,h1-h30_score,h1-h30_kappa_f,h1-h30_r_f,h1-h30_phi_f,h1-h30_age,h1-h30_status,h1-h31_score,h1-h31_kappa_f,h1-h31_r_f,h1-h31_phi_f,h1-h31_age,h1-h31_status,h1-h32_score,h1-h32_kappa_f,h1-h32_r_f,h1-h32_phi_f,h1-h32_age,h1-h32_status,h1-h33_score,h1-h33_kappa_f,h1-h33_r_f,h1-h33_phi_f,h1-h33_age,h1-h33_status,h1-h34_score,h1-h34_kappa_f,h1-h34_r_f,h1-h34_phi_f,h1-h34_age,h1-h34_status,h1-h35_score,h1-h35_kappa_f,h1-h35_r_f,h1-h35_phi_f,h1-h35_age,h1-h35_status,h1-h36_score,h1-h36_kappa_f,h1-h36_r_f,h1-h36_phi_f,h1-h36_age,h1-h36_status,h1-h37_score,h1-h37_kappa_f,h1-h37_r_f,h1-h37_phi_f,h1-h37_age,h1-h37_status,h1-h38_score,h1-h38_kappa_f,h1-h38_r_f,h1-h38_phi_f,h1-h38_age,h1-h38_status,h1-h39_score,h1-h39_kappa_f,h1-h39_r_f,h1-h39_phi_f,h1-h39_age,h1-h39_status
1014,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.66,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.705,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.54,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.495,0.0,1.0,0,BLOCKED
1020,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.66,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.705,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.54,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.495,0.0,1.0,0,BLOCKED
1026,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.66,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.705,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.54,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.495,0.0,1.0,0,BLOCKED
1032,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.66,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.705,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.54,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.495,0.0,1.0,0,BLOCKED
1038,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.66,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.705,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.54,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.495,0.0,1.0,0,BLOCKED
1044,2.51,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.66,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.705,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.54,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.495,0.0,1.0,0,BLOCKED
1050,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.66,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.705,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.54,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.495,0.0,1.0,0,BLOCKED
1056,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.66,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.705,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.54,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.495,0.0,1.0,0,BLOCKED
1062,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.66,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.705,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.54,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.495,0.0,1.0,0,BLOCKED
1068,2.6,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.66,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.705,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.54,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.495,0.0,1.0,0,BLOCKED
1074,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.66,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.705,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.54,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.495,0.0,1.0,0,BLOCKED
1080,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1086,2.6,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1092,2.6,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1098,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1104,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1110,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1116,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1122,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1128,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1134,2.6,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1140,2.6,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1146,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1152,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1158,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1164,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1170,2.6,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1176,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1182,2.51,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1188,2.6,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1194,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1200,2.6,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1206,2.6,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1212,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1218,2.51,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1224,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1230,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1236,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1242,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1248,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1254,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1260,2.51,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1266,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1272,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1278,2.6,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1284,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1290,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1296,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1302,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1308,2.6,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.7125,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1314,2.51,0.51,0.5,1.0,1,SELECTED,2.33,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1320,2.51,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.6225,0.585,0.5,1.0,1,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
1326,2.6,0.51,0.5,1.0,1,SELECTED,2.42,0.39,0.5,1.0,1,SELECTED,2.7475,0.585,0.5,1.0,2,SELECTED,1.42,0.615,0.0,1.0,0,BLOCKED,1.42,0.525,0.0,1.0,0,BLOCKED,1.42,0.57,0.0,1.0,0,BLOCKED,1.42,0.435,0.0,1.0,0,BLOCKED,1.42,0.48,0.0,1.0,0,BLOCKED,1.42,0.555,0.0,1.0,0,BLOCKED,1.42,0.465,0.0,1.0,0,BLOCKED
