timestep,action_taken,sel_ip_hosts,c_ip_hosts,ip_top1_host,ip_top1_score,ip_top1_r_i,ip_top1_T_i,ip_top1_kappa,ip_top1_A_i,ip_mean_score,ip_mean_r_i,ip_mean_T_i,ip_mean_kappa,sel_rrm_pairs,c_rrm_pairs,rrm_top1_pair,rrm_top1_score,rrm_top1_r_f,rrm_top1_phi_f,rrm_top1_kappa_f,rrm_top1_A_f,rrm_mean_score,rrm_mean_r_f,rrm_mean_phi_f,rrm_mean_kappa_f
1326,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7475,0.5,1.0,0.585,2,1.77075,0.15,1.0,0.513
1332,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
1338,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
1344,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
1350,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
1356,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
1362,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
1368,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7475,0.5,1.0,0.585,2,1.76175,0.15,1.0,0.513
1374,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
1380,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
1386,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
1392,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
1398,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
1404,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
1410,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
1416,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
1422,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
1428,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
1434,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
1440,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1446,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1452,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1458,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1464,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1470,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.765,0.15,1.0,0.525
1476,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1482,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1488,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.765,0.15,1.0,0.525
1494,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.765,0.15,1.0,0.525
1500,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
1506,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1512,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
1518,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1524,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1530,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
1536,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.765,0.15,1.0,0.525
1542,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
1548,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1554,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1560,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1566,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1572,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
1578,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
1584,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.765,0.15,1.0,0.525
1590,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1596,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.774,0.15,1.0,0.525
1602,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
1608,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
1614,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1620,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1626,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1632,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
1638,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1644,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.774,0.15,1.0,0.525
1650,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1656,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.765,0.15,1.0,0.525
1662,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
1668,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.765,0.15,1.0,0.525
1674,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1680,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.765,0.15,1.0,0.525
1686,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.774,0.15,1.0,0.525
1692,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.765,0.15,1.0,0.525
1698,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1704,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
1710,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1716,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1722,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.774,0.15,1.0,0.525
1728,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1734,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1740,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1746,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1752,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
1758,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1764,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1770,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.765,0.15,1.0,0.525
1776,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.765,0.15,1.0,0.525
1782,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1788,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
1794,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
1800,route,none,none,h30,-0.13636,0.0,0.0,0.28,10,-0.13636,0.0,0.0,0.391,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.7515,0.15,1.0,0.5205
1806,route,none,none,h30,-0.13636,0.0,0.0,0.28,10,-0.13636,0.0,0.0,0.391,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.7425,0.15,1.0,0.5205
