timestamp,link_id,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_mbps,tx_mbps,rx_pps,tx_pps
2026-07-13T22:38:58.246771,of:0000000000000008:1 -> of:000000000000000b:6,12040,12040,1675562,1675562,0.001,0.001,1.2,1.2
2026-07-13T22:38:58.246771,of:0000000000000003:2 -> of:0000000000000008:3,12078,12078,1673344,1673344,0.001,0.001,1.2,1.2
2026-07-13T22:38:58.246771,of:0000000000000002:2 -> of:0000000000000008:2,12078,12078,1673344,1673344,0.001,0.001,1.2,1.2
2026-07-13T22:38:58.246771,of:0000000000000007:2 -> of:000000000000000a:3,12078,12078,1679286,1679286,0.001,0.001,1.2,1.2
2026-07-13T22:38:58.246771,of:0000000000000007:1 -> of:000000000000000d:5,15082,15082,1973698,1973698,0.002,0.002,1.99,1.99
2026-07-13T22:38:58.246771,of:0000000000000003:1 -> of:000000000000000b:5,15589,15589,2023364,2023364,0.001,0.001,1.26,1.26
2026-07-13T22:38:58.246771,of:0000000000000006:1 -> of:000000000000000d:4,14578,14578,1924286,1924286,0.002,0.002,1.86,1.86
2026-07-13T22:38:58.246771,of:0000000000000006:2 -> of:000000000000000a:2,12582,12582,1728698,1728698,0.001,0.001,1.33,1.33
2026-07-13T22:38:58.246771,of:0000000000000001:3 -> of:000000000000000d:1,17620,17620,2222442,2222442,0.002,0.002,2.66,2.66
2026-07-13T22:38:58.246771,of:0000000000000002:1 -> of:000000000000000b:4,15585,15585,2022972,2022972,0.001,0.001,1.2,1.2
2026-07-13T22:38:58.246771,of:0000000000000001:2 -> of:000000000000000c:1,17626,17626,2223092,2223094,0.003,0.003,2.72,2.72
2026-07-13T22:38:58.246771,of:0000000000000001:1 -> of:000000000000000b:1,20138,20138,2469186,2469186,0.002,0.002,1.53,1.53
2026-07-13T22:38:58.246771,of:0000000000000004:1 -> of:000000000000000c:4,14584,14584,1924976,1924978,0.002,0.002,1.93,1.93
2026-07-13T22:38:58.246771,of:0000000000000005:1 -> of:000000000000000c:5,15084,15084,1973956,1973958,0.002,0.002,2.06,2.06
