snapshot_id,src,dst,current_option,route_exposure,link_usage,link_monitor,current_hop_count,hop_penalty,route_grid_priority,max_flow_overlap,overlap_pressure,path,route_capable,latency_ok,frequency_ok,teacher_p_route,teacher_score,teacher_benefit,teacher_cost,teacher_hop_cost,selected_route_label
1,h21,h24,0,1.0,0.001,0.00125,2.0,0.0,0.0,0.0,0.0,"of:0000000000000004:2 -> of:0000000000000009:2, of:0000000000000009:3 -> of:0000000000000005:2",1,1,1,0.0007750000000000001,-0.049635000000000006,0.000465,0.05,0.0001,0
1,h22,h29,0,1.0,0.001,0.00125,3.0,0.0,0.0,0.0,0.0,"of:0000000000000005:1 -> of:000000000000000c:5, of:000000000000000c:3 -> of:000000000000000d:3, of:000000000000000d:4 -> of:0000000000000006:1",1,1,1,0.0007750000000000001,-0.049635000000000006,0.000465,0.05,0.0001,0
1,h23,h29,0,1.0,0.001,0.00125,3.0,0.0,0.0,0.0,0.0,"of:0000000000000005:1 -> of:000000000000000c:5, of:000000000000000c:3 -> of:000000000000000d:3, of:000000000000000d:4 -> of:0000000000000006:1",1,1,1,0.0007750000000000001,-0.049635000000000006,0.000465,0.05,0.0001,0
1,h23,h30,0,1.0,0.001,0.00125,3.0,0.0,0.7777777777777778,0.0,0.0,"of:0000000000000005:1 -> of:000000000000000c:5, of:000000000000000c:3 -> of:000000000000000d:3, of:000000000000000d:4 -> of:0000000000000006:1",1,1,1,0.07855277777777778,-0.0029683333333333406,0.04713166666666666,0.05,0.0001,0
1,h23,h31,0,1.0,0.001,0.00125,3.0,0.0,0.0,0.0,0.0,"of:0000000000000005:1 -> of:000000000000000c:5, of:000000000000000c:3 -> of:000000000000000d:3, of:000000000000000d:4 -> of:0000000000000006:1",1,1,1,0.0007750000000000001,-0.049635000000000006,0.000465,0.05,0.0001,0
1,h23,h32,0,1.0,0.001,0.00125,3.0,0.0,0.4444444444444444,0.0,0.0,"of:0000000000000005:1 -> of:000000000000000c:5, of:000000000000000c:3 -> of:000000000000000d:3, of:000000000000000d:4 -> of:0000000000000006:1",1,1,1,0.045219444444444444,-0.022968333333333337,0.027131666666666665,0.05,0.0001,0
1,h23,h33,0,1.0,0.001,0.00125,3.0,0.0,0.8888888888888888,0.0,0.0,"of:0000000000000005:1 -> of:000000000000000c:5, of:000000000000000c:3 -> of:000000000000000d:3, of:000000000000000d:4 -> of:0000000000000006:1",1,1,1,0.08966388888888889,0.0036983333333333273,0.05379833333333333,0.05,0.0001,1
1,h23,h34,0,1.0,0.001,0.00125,3.0,0.0,0.6666666666666667,0.0,0.0,"of:0000000000000005:1 -> of:000000000000000c:5, of:000000000000000c:3 -> of:000000000000000d:3, of:000000000000000d:5 -> of:0000000000000007:1",1,1,1,0.06744166666666668,-0.009634999999999994,0.04046500000000001,0.05,0.0001,0
1,h23,h35,0,0.06666666666666667,0.001,0.00125,3.0,0.0,1.0,0.0,0.0,"of:0000000000000005:1 -> of:000000000000000c:5, of:000000000000000c:3 -> of:000000000000000d:3, of:000000000000000d:5 -> of:0000000000000007:1",1,1,1,0.100775,-0.046069000000000006,0.004031,0.05,0.0001,0
1,h23,h36,0,1.0,0.001,0.00125,3.0,0.0,0.11111111111111116,0.0,0.0,"of:0000000000000005:1 -> of:000000000000000c:5, of:000000000000000c:3 -> of:000000000000000d:3, of:000000000000000d:5 -> of:0000000000000007:1",1,1,1,0.011886111111111116,-0.04296833333333334,0.00713166666666667,0.05,0.0001,0
