timestamp,host_id,mac,ipAddresses,vlan,switch_id,port
2026-06-08 16:59:00,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 16:59:00,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 16:59:05,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 16:59:05,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 16:59:10,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 16:59:10,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 16:59:15,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 16:59:15,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 16:59:20,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 16:59:20,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 16:59:25,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 16:59:25,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 16:59:30,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 16:59:30,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 16:59:35,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 16:59:35,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 16:59:40,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 16:59:40,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 16:59:45,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 16:59:45,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 16:59:50,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 16:59:50,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 16:59:55,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 16:59:55,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:00:00,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:00:00,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:00:05,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:00:05,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:00:10,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:00:10,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:00:15,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:00:15,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:00:20,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:00:20,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:00:25,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:00:25,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:00:30,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:00:30,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:00:35,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:00:35,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:00:40,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:00:40,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:00:45,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:00:45,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:00:51,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:00:51,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:00:56,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:00:56,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:01:01,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:01:01,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:01:06,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:01:06,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:01:11,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:01:11,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:01:16,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:01:16,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:01:21,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
