timestamp,connection_id,eth_src,eth_dst,ipv4_src,ipv4_dst,deviceId,flowId,packets,bytes,flow_life_sec,observed_active_age_sec,state
2026-06-08 16:59:00,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:0000000000000004,00:00:00:00:00:01,00:00:00:00:00:02,,,of:0000000000000004,34902897777565059,0,0,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000004,,,,,of:0000000000000004,281475616213265,2,278,0,0.0,ADDED
2026-06-08 16:59:00,00:00:00:00:00:02|00:00:00:00:00:01|None|None|of:0000000000000004,00:00:00:00:00:02,00:00:00:00:00:01,,,of:0000000000000004,34902897652261151,5,490,0,0.0,ADDED
2026-06-08 16:59:00,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:0000000000000004,00:00:00:00:00:01,00:00:00:00:00:02,,,of:0000000000000004,34902899110784439,1,98,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000004,,,,,of:0000000000000004,281475265228006,0,0,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000004,,,,,of:0000000000000004,281477141311986,13,1274,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000004,,,,,of:0000000000000004,281476729151998,2,278,0,0.0,ADDED
2026-06-08 16:59:00,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:0000000000000001,00:00:00:00:00:01,00:00:00:00:00:02,,,of:0000000000000001,34902897526632845,0,0,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000001,,,,,of:0000000000000001,281478909873038,0,0,0,0.0,ADDED
2026-06-08 16:59:00,00:00:00:00:00:02|00:00:00:00:00:01|None|None|of:0000000000000001,00:00:00:00:00:02,00:00:00:00:00:01,,,of:0000000000000001,34902898246926876,0,0,0,0.0,PENDING_ADD
2026-06-08 16:59:00,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:0000000000000001,00:00:00:00:00:01,00:00:00:00:00:02,,,of:0000000000000001,34902899196753573,0,0,0,0.0,PENDING_ADD
2026-06-08 16:59:00,00:00:00:00:00:02|00:00:00:00:00:01|None|None|of:0000000000000001,00:00:00:00:00:02,00:00:00:00:00:01,,,of:0000000000000001,34902899566969773,0,0,0,0.0,PENDING_ADD
2026-06-08 16:59:00,00:00:00:00:00:02|00:00:00:00:00:01|None|None|of:0000000000000001,00:00:00:00:00:02,00:00:00:00:00:01,,,of:0000000000000001,34902898986035913,0,0,0,0.0,PENDING_ADD
2026-06-08 16:59:00,None|None|None|None|of:0000000000000001,,,,,of:0000000000000001,281477466379610,4,560,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000001,,,,,of:0000000000000001,281475012051420,20,1960,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000001,,,,,of:0000000000000001,281477029321583,4,560,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000002,,,,,of:0000000000000002,281478316350853,0,0,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000002,,,,,of:0000000000000002,281478673389323,4,558,0,0.0,ADDED
2026-06-08 16:59:00,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:0000000000000002,00:00:00:00:00:01,00:00:00:00:00:02,,,of:0000000000000002,34902899328279504,30,2940,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000002,,,,,of:0000000000000002,281475022575828,4,558,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000002,,,,,of:0000000000000002,281475568191580,34,3332,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000007,,,,,of:0000000000000007,281475652364572,2,196,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000007,,,,,of:0000000000000007,281478438392611,0,0,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000007,,,,,of:0000000000000007,281476350262333,2,280,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000007,,,,,of:0000000000000007,281475000925130,2,280,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000008,,,,,of:0000000000000008,281476059291414,0,0,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000008,,,,,of:0000000000000008,281476101349656,6,836,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000008,,,,,of:0000000000000008,281476270708671,6,836,0,0.0,ADDED
2026-06-08 16:59:00,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:0000000000000008,00:00:00:00:00:01,00:00:00:00:00:02,,,of:0000000000000008,34902898875781211,0,0,0,0.0,PENDING_ADD
2026-06-08 16:59:00,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:0000000000000008,00:00:00:00:00:01,00:00:00:00:00:02,,,of:0000000000000008,34902901305484251,0,0,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000008,,,,,of:0000000000000008,281476010895837,47,4606,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000005,,,,,of:0000000000000005,281478762460478,0,0,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000005,,,,,of:0000000000000005,281478211273411,3,419,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000005,,,,,of:0000000000000005,281475117841124,2,196,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000005,,,,,of:0000000000000005,281478979269874,3,419,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000006,,,,,of:0000000000000006,281475738574217,2,280,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000006,,,,,of:0000000000000006,281476873293724,2,280,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000006,,,,,of:0000000000000006,281475411377083,0,0,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000006,,,,,of:0000000000000006,281478888449605,2,196,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000009,,,,,of:0000000000000009,281478887649794,3,418,0,0.0,ADDED
2026-06-08 16:59:00,00:00:00:00:00:02|00:00:00:00:00:01|None|None|of:0000000000000009,00:00:00:00:00:02,00:00:00:00:00:01,,,of:0000000000000009,34902901355594755,0,0,0,0.0,PENDING_ADD
2026-06-08 16:59:00,None|None|None|None|of:0000000000000009,,,,,of:0000000000000009,281474993990194,31,3038,0,0.0,ADDED
2026-06-08 16:59:00,None|None|None|None|of:0000000000000009,,,,,of:0000000000000009,281476295891648,3,418,0,0.0,ADDED
2026-06-08 16:59:00,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:0000000000000009,00:00:00:00:00:01,00:00:00:00:00:02,,,of:0000000000000009,34902898630325073,0,0,0,0.0,ADDED
2026-06-08 16:59:00,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:0000000000000009,00:00:00:00:00:01,00:00:00:00:00:02,,,of:0000000000000009,34902900670637139,0,0,0,0.0,ADDED
2026-06-08 16:59:00,00:00:00:00:00:02|00:00:00:00:00:01|None|None|of:0000000000000009,00:00:00:00:00:02,00:00:00:00:00:01,,,of:0000000000000009,34902898191767029,0,0,0,0.0,PENDING_ADD
2026-06-08 16:59:00,None|None|None|None|of:0000000000000009,,,,,of:0000000000000009,281479019932926,0,0,0,0.0,ADDED
2026-06-08 16:59:00,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:0000000000000009,00:00:00:00:00:01,00:00:00:00:00:02,,,of:0000000000000009,34902899619228287,1,98,0,0.0,ADDED
2026-06-08 16:59:05,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:000000000000000c,00:00:00:00:00:01,00:00:00:00:00:02,,,of:000000000000000c,34902899303410432,0,0,5,5.08,ADDED
2026-06-08 16:59:05,None|None|None|None|of:000000000000000c,,,,,of:000000000000000c,281479100460205,16,2230,5,5.08,ADDED
2026-06-08 16:59:05,None|None|None|None|of:000000000000000c,,,,,of:000000000000000c,281475624796078,16,2230,5,5.08,ADDED
2026-06-08 16:59:05,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:000000000000000c,00:00:00:00:00:01,00:00:00:00:00:02,,,of:000000000000000c,34902897676665659,0,0,5,5.08,ADDED
2026-06-08 16:59:05,00:00:00:00:00:02|00:00:00:00:00:01|None|None|of:000000000000000c,00:00:00:00:00:02,00:00:00:00:00:01,,,of:000000000000000c,34902900239330154,0,0,2,0.0,ADDED
2026-06-08 16:59:05,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:000000000000000c,00:00:00:00:00:01,00:00:00:00:00:02,,,of:000000000000000c,34902898833863535,6,588,5,5.08,ADDED
2026-06-08 16:59:05,00:00:00:00:00:02|00:00:00:00:00:01|None|None|of:000000000000000c,00:00:00:00:00:02,00:00:00:00:00:01,,,of:000000000000000c,34902900769732214,0,0,2,0.0,ADDED
2026-06-08 16:59:05,None|None|None|None|of:000000000000000c,,,,,of:000000000000000c,281477504901495,0,0,5,5.08,ADDED
2026-06-08 16:59:05,None|None|None|None|of:000000000000000c,,,,,of:000000000000000c,281476292687096,83,8134,5,5.08,ADDED
2026-06-08 16:59:05,00:00:00:00:00:01|00:00:00:00:00:02|None|None|of:000000000000000d,00:00:00:00:00:01,00:00:00:00:00:02,,,of:000000000000000d,34902897202334220,0,0,5,5.08,ADDED
2026-06-08 16:59:05,None|None|None|None|of:000000000000000d,,,,,of:000000000000000d,281478200287907,12,1675,5,5.08,ADDED
2026-06-08 16:59:05,00:00:00:00:00:02|00:00:00:00:00:01|None|None|of:000000000000000d,00:00:00:00:00:02,00:00:00:00:00:01,,,of:000000000000000d,34902898983574437,9,882,4,5.08,ADDED
