timestamp,deviceId,flowId,state,appId,priority,eth_src,eth_dst,ipv4_src,ipv4_dst,ip_proto,tcp_src,tcp_dst,udp_src,udp_dst,in_port,out_port,packets,bytes,flow_lifetime_sec,observed_active_age_sec,flow_seen_last10,flow_packet_change_last10,flow_byte_change_last10,src_mac_first_seen_time,src_mac_last_seen_time,src_mac_observed_age_sec,src_mac_ip_count_last10,src_mac_ips_last10,src_mac_unique_dst_ip_count_last10,src_mac_unique_dst_port_count_last10,src_mac_short_lived_count_last10,unique_dst_ip_count_by_src,unique_dst_port_count_by_src,flow_count_by_src,short_lived_flow_count_by_src,flow_count_by_dst,unique_src_count_by_dst,total_packets_by_dst,total_bytes_by_dst
2026-06-08 22:38:58,of:000000000000000c,34902897250504455,ADDED,org.onosproject.fwd,10,00:00:00:00:00:11,00:00:00:00:00:09,,,,,,,,4,2,0,0,9.0,674.1,10,0,0,2026-06-08 22:38:53,2026-06-08 22:38:58,5.06,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902897210113802,ADDED,org.onosproject.fwd,10,00:00:00:00:00:12,00:00:00:00:00:21,,,,,,,,4,3,0,0,0.0,612.85,10,0,0,2026-06-08 22:38:53,2026-06-08 22:38:58,5.06,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902901226074765,ADDED,org.onosproject.fwd,10,00:00:00:00:00:22,00:00:00:00:00:11,,,,,,,,3,4,0,0,6.0,628.04,10,0,0,2026-06-08 22:38:48,2026-06-08 22:38:58,10.13,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902897788384525,ADDED,org.onosproject.fwd,10,00:00:00:00:00:23,00:00:00:00:00:11,,,,,,,,3,4,0,0,6.0,628.04,10,0,0,2026-06-08 22:38:48,2026-06-08 22:38:58,10.13,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902897931178253,ADDED,org.onosproject.fwd,10,00:00:00:00:00:12,00:00:00:00:00:01,,,,,,,,4,1,0,0,5.0,714.54,10,0,0,2026-06-08 22:38:53,2026-06-08 22:38:58,5.06,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902897647155343,ADDED,org.onosproject.fwd,10,00:00:00:00:00:03,00:00:00:00:00:12,,,,,,,,2,4,0,0,4.0,704.42,10,0,0,2026-06-08 22:38:48,2026-06-08 22:38:58,10.13,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902899919869199,ADDED,org.onosproject.fwd,10,00:00:00:00:00:12,00:00:00:00:00:20,,,,,,,,4,3,0,0,0.0,612.85,10,0,0,2026-06-08 22:38:53,2026-06-08 22:38:58,5.06,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902898542037522,ADDED,org.onosproject.fwd,10,00:00:00:00:00:23,00:00:00:00:00:12,,,,,,,,3,4,0,0,0.0,612.85,10,0,0,2026-06-08 22:38:48,2026-06-08 22:38:58,10.13,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902899684343316,ADDED,org.onosproject.fwd,10,00:00:00:00:00:08,00:00:00:00:00:11,,,,,,,,2,4,0,0,9.0,679.16,10,0,0,2026-06-08 22:38:48,2026-06-08 22:38:58,10.13,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902900224166038,ADDED,org.onosproject.fwd,10,00:00:00:00:00:12,00:00:00:00:00:07,,,,,,,,4,2,0,0,4.0,684.21,10,0,0,2026-06-08 22:38:53,2026-06-08 22:38:58,5.06,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902898133122198,ADDED,org.onosproject.fwd,10,00:00:00:00:00:12,00:00:00:00:00:02,,,,,,,,4,2,0,0,5.0,714.54,10,0,0,2026-06-08 22:38:53,2026-06-08 22:38:58,5.06,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902900441292951,ADDED,org.onosproject.fwd,10,00:00:00:00:00:27,00:00:00:00:00:11,,,,,,,,3,4,0,0,5.0,628.04,10,0,0,2026-06-08 22:38:48,2026-06-08 22:38:58,10.13,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902897401985560,ADDED,org.onosproject.fwd,10,00:00:00:00:00:11,00:00:00:00:00:1D,,,,,,,,4,3,0,0,7.0,628.04,10,0,0,2026-06-08 22:38:53,2026-06-08 22:38:58,5.06,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902897802077597,ADDED,org.onosproject.fwd,10,00:00:00:00:00:04,00:00:00:00:00:12,,,,,,,,2,4,0,0,4.0,699.37,10,0,0,2026-06-08 22:38:48,2026-06-08 22:38:58,10.13,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902901336939549,ADDED,org.onosproject.fwd,10,00:00:00:00:00:08,00:00:00:00:00:12,,,,,,,,2,4,0,0,4.0,679.16,10,0,0,2026-06-08 22:38:53,2026-06-08 22:38:58,5.06,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902898004594973,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0B,00:00:00:00:00:11,,,,,,,,2,4,0,0,9.0,663.96,10,0,0,2026-06-08 22:38:48,2026-06-08 22:38:58,10.13,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902897875403296,ADDED,org.onosproject.fwd,10,00:00:00:00:00:11,00:00:00:00:00:0B,,,,,,,,4,2,0,0,9.0,663.96,10,0,0,2026-06-08 22:38:53,2026-06-08 22:38:58,5.06,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902900667495584,ADDED,org.onosproject.fwd,10,00:00:00:00:00:11,00:00:00:00:00:0E,,,,,,,,4,2,0,0,8.0,648.8,10,0,0,2026-06-08 22:38:53,2026-06-08 22:38:58,5.06,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902901012183968,ADDED,org.onosproject.fwd,10,00:00:00:00:00:12,00:00:00:00:00:0E,,,,,,,,4,2,0,0,3.0,648.8,10,0,0,2026-06-08 22:38:53,2026-06-08 22:38:58,5.06,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902901269253026,ADDED,org.onosproject.fwd,10,00:00:00:00:00:11,00:00:00:00:00:28,,,,,,,,4,3,0,0,5.0,628.04,10,0,0,2026-06-08 22:38:53,2026-06-08 22:38:58,5.06,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902899895951522,ADDED,org.onosproject.fwd,10,00:00:00:00:00:0A,00:00:00:00:00:12,,,,,,,,2,4,0,0,3.0,669.04,10,0,0,2026-06-08 22:38:48,2026-06-08 22:38:58,10.13,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902897746648739,ADDED,org.onosproject.fwd,10,00:00:00:00:00:22,00:00:00:00:00:12,,,,,,,,3,4,0,0,0.0,612.85,10,0,0,2026-06-08 22:38:48,2026-06-08 22:38:58,10.13,0,,0,0,10,0,0,0,0,0,0,0,0
2026-06-08 22:38:58,of:000000000000000c,34902897545326756,ADDED,org.onosproject.fwd,10,00:00:00:00:00:26,00:00:00:00:00:11,,,,,,,,3,4,0,0,5.0,628.04,10,0,0,2026-06-08 22:38:48,2026-06-08 22:38:58,10.13,0,,0,0,10,0,0,0,0,0,0,0,0
