interval,selected_routes,routes_using_link,interval_mpe
2,1344,382,0.7157738095238095
3,1344,382,0.7157738095238095
4,1343,384,0.7140729709605361
5,1344,386,0.7127976190476191
6,1344,384,0.7142857142857143
7,1344,384,0.7142857142857143
8,1344,384,0.7142857142857143
9,1344,384,0.7142857142857143
10,1344,385,0.7135416666666667
11,1344,384,0.7142857142857143
12,1344,385,0.7135416666666667
13,1344,382,0.7157738095238095
14,1344,376,0.7202380952380952
